Date,KMB IB Equity,HCLT IB Equity,NTPC IB Equity,NEST IB Equity,BHARTI IB Equity,RELIANCE IB Equity,TCS IB Equity,ITC IB Equity,MM IB Equity,UTCEM IB Equity,TATA IB Equity,SUNP IB Equity,WPRO IB Equity,HUVR IB Equity,INFO IB Equity,MSIL IB Equity,BAF IB Equity,HDFCB IB Equity,ICICIBC IB Equity,APNT IB Equity,SBIN IB Equity,TTAN IB Equity,TTMT IB Equity,IIB IB Equity,JSTL IB Equity,LT IB Equity,AXSB IB Equity
2020-09-07,1370.1,709.05,92.5,16402.5,505.71,1897.12,2327.4,189.3,610.55,3848.75,42.24,513.2,278.65,2162.1,924.65,7210.1,3504.45,1109.3,373.25,1981.95,207.9,1167.05,149.35,608.75,286.35,932.2,458.6
2020-09-08,1351.15,725.05,90.6,16135.45,488.72,1919.58,2348.95,188.15,608.85,3823.15,40.49,502.05,282.25,2139.85,940.05,7225.65,3500.75,1112.05,375.9,1958.15,204.0,1162.15,142.25,600.3,281.15,916.25,444.25
2020-09-09,1326.35,722.5,90.3,16313.2,495.2,1968.95,2323.75,183.95,614.25,3831.45,41.73,509.1,282.75,2131.9,928.3,7214.2,3423.8,1095.7,367.75,1978.8,194.9,1160.8,140.25,605.45,286.8,909.55,431.2
2020-09-10,1319.2,721.7,90.55,16412.8,488.38,2108.71,2331.6,184.95,615.45,3917.3,40.79,507.5,284.95,2134.55,939.95,7230.85,3499.0,1090.65,370.45,2062.9,198.15,1155.35,143.25,620.65,285.05,920.65,447.15
2020-09-11,1330.0,721.05,90.15,16324.0,482.59,2112.53,2373.7,183.9,613.75,3896.9,40.74,505.4,293.05,2159.25,945.4,7190.15,3543.35,1078.5,370.15,2035.2,202.7,1167.65,144.3,610.05,287.65,917.65,447.05
2020-09-14,1304.85,794.9,90.9,16066.35,465.9,2097.5,2492.3,183.35,615.75,3910.9,40.42,495.8,307.15,2122.6,977.95,7123.55,3440.35,1057.9,363.65,2031.55,198.55,1188.75,148.4,608.95,290.0,902.3,440.1
2020-09-15,1324.3,792.4,91.0,16038.4,476.75,2111.67,2490.25,181.8,613.6,3931.2,40.53,506.05,307.3,2124.75,981.9,7051.0,3514.45,1070.9,371.45,2016.95,200.15,1174.45,148.3,633.5,289.5,909.55,449.65
2020-09-16,1324.7,789.35,89.7,16196.3,472.77,2117.09,2502.65,180.65,639.6,3974.9,40.46,518.7,312.1,2142.7,1001.05,7054.35,3519.75,1093.5,374.75,2014.55,198.25,1182.45,151.6,622.1,288.45,921.95,445.95
2020-09-17,1305.3,808.0,88.6,16121.85,470.03,2094.77,2460.05,178.55,637.15,3965.25,39.87,511.85,311.65,2127.8,1010.65,7085.55,3469.8,1083.25,368.9,2008.4,195.5,1182.55,147.6,617.4,287.05,906.3,442.85
2020-09-18,1278.3,811.1,90.5,16098.9,487.55,2100.37,2450.75,179.2,654.45,4004.7,39.53,523.25,316.5,2098.3,1002.55,6963.3,3475.45,1057.4,369.9,2028.8,192.6,1162.85,147.9,613.35,287.6,900.2,443.3
2020-09-21,1289.35,802.3,88.3,15418.9,459.23,2054.5,2464.6,175.7,622.35,3888.95,37.33,503.65,311.95,2038.9,1009.3,6622.35,3327.95,1048.7,350.85,1972.7,185.8,1119.65,137.4,560.2,271.35,881.9,423.25
2020-09-22,1271.2,821.8,87.75,15203.25,462.37,2014.42,2523.55,174.15,615.85,3878.3,37.42,510.45,312.25,2027.05,1007.2,6434.65,3304.4,1036.0,354.5,1935.8,186.15,1105.0,133.1,544.55,271.8,857.05,412.3
2020-09-23,1274.85,814.35,85.1,15362.95,425.9,2031.18,2467.15,172.55,612.8,3867.15,36.13,502.75,314.5,2052.85,1019.65,6503.5,3242.85,1047.55,351.7,1946.5,183.8,1117.25,131.35,527.65,268.05,860.75,419.8
2020-09-24,1245.9,788.05,82.65,15257.85,411.13,1987.08,2331.5,166.6,573.75,3775.95,34.39,485.4,304.6,2060.3,975.35,6295.85,3027.9,1029.95,335.8,1919.2,176.45,1095.75,122.8,490.2,258.7,850.35,402.4
2020-09-25,1249.45,827.5,84.7,15734.25,431.6,2005.81,2422.3,170.8,592.7,3859.5,35.19,489.45,313.9,2077.75,1011.05,6496.15,3138.25,1044.05,348.5,1924.4,182.2,1109.15,127.35,514.55,268.35,889.3,414.95
2020-09-28,1279.0,834.85,87.55,15721.35,435.23,2018.61,2425.35,173.35,615.05,3928.4,36.1,510.2,311.55,2064.1,1009.5,6707.0,3335.75,1054.05,362.9,1946.1,187.3,1139.2,132.85,554.95,277.1,902.9,439.15
2020-09-29,1263.55,812.4,85.25,15625.4,427.43,2045.12,2487.25,169.35,613.0,4064.6,37.0,505.6,311.4,2034.2,1010.25,6738.6,3293.1,1062.5,356.95,1959.85,185.0,1167.45,131.7,536.25,284.05,895.15,426.75
2020-09-30,1268.15,811.6,85.2,15924.7,413.14,2035.0,2491.5,171.75,607.65,4047.0,35.98,500.5,313.6,2068.35,1008.0,6742.85,3277.25,1079.2,354.9,1987.55,185.4,1200.5,133.3,526.75,277.7,902.45,424.5
2020-10-01,1305.3,812.75,84.8,15998.45,424.38,2027.08,2522.75,170.85,609.7,4100.7,36.49,506.8,313.0,2095.05,1017.7,6794.05,3444.05,1106.6,369.15,2040.95,190.35,1198.75,133.5,592.1,282.05,902.95,443.35
2020-10-02,1305.3,812.75,84.8,15998.45,424.38,2027.08,2522.75,170.85,609.7,4100.7,36.49,506.8,313.0,2095.05,1017.7,6794.05,3444.05,1106.6,369.15,2040.95,190.35,1198.75,133.5,592.1,282.05,902.95,443.35
2020-10-05,1314.8,822.9,84.35,16039.6,416.53,2014.42,2706.85,169.3,607.0,4047.0,38.21,523.15,334.05,2111.05,1048.2,6816.85,3379.85,1114.15,373.15,2027.1,188.75,1194.5,133.9,601.75,289.55,896.85,444.2
2020-10-06,1338.45,828.7,84.15,15874.95,418.89,2013.5,2716.15,169.95,627.2,4136.75,37.74,520.8,330.0,2114.75,1055.75,6890.4,3474.4,1144.2,380.45,2090.6,191.6,1199.95,144.85,622.45,291.15,892.7,449.4
2020-10-07,1324.0,827.75,82.8,16111.8,414.71,2056.32,2737.4,169.5,631.3,4210.6,37.08,511.65,335.25,2139.85,1066.55,7047.75,3331.2,1162.0,382.95,2103.95,190.65,1253.2,141.0,619.8,291.3,887.7,453.05
