Date,OR FP Equity,DG FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity
2022-04-22,353.0,92.9,45.87,145.6364,40.175,26.63,89.18,51.73,55.22,192.1,19.64,55.49,167.2,639.6,29.7,529.2,58.0,23.21,106.96,124.5,340.5,1232.5,11.106,29.53,32.1,21.78,28.63,100.8504,24.045,142.32,104.66,10.492,193.65,35.31
2022-04-25,341.9,94.1,44.03,144.8545,39.875,25.775,91.12,50.85,56.18,188.0,19.8,54.49,163.9,615.6,29.2375,506.2,56.96,23.115,104.06,123.45,341.0,1179.0,11.136,26.92,32.57,21.86,28.66,100.3531,23.465,139.02,103.0,10.432,192.35,35.275
2022-04-26,338.2,92.8,44.755,146.4909,38.605,25.93,89.44,50.44,56.41,185.35,20.05,54.12,160.4,607.3,28.6375,507.4,57.46,22.12,105.2,123.3,340.0,1165.5,11.25,26.87,33.06,20.57,28.14,100.751,23.19,136.54,102.04,10.288,194.3,34.855
2022-04-27,341.55,92.15,45.13,147.5455,40.41,25.705,88.08,49.745,55.79,186.5,19.825,54.95,159.95,616.6,29.675,507.2,57.02,22.345,104.44,122.9,334.9,1186.0,11.31,28.035,32.73,20.5,27.31,102.7799,23.02,135.66,102.12,10.186,195.5,35.035
2022-04-28,347.3,92.96,46.78,148.7636,42.72,25.69,89.88,49.46,56.91,196.1,19.9,55.58,162.1,617.2,29.775,505.9,57.34,22.95,105.46,121.7,343.7,1188.5,11.32,27.75,33.0,20.88,27.8,101.845,22.97,137.92,103.34,10.204,193.5,35.59
2022-04-29,348.9,92.84,47.225,150.3091,42.535,25.46,88.72,49.705,57.64,196.1,20.16,56.33,163.8,619.5,29.7625,513.1,57.58,23.575,103.18,122.0,342.7,1186.5,11.318,28.115,32.85,21.12,27.9,100.6316,23.17,137.7,105.54,10.376,197.65,35.735
2022-05-02,340.1,91.07,46.98,148.2,41.535,25.185,86.96,48.805,57.3,191.35,20.39,55.89,161.45,606.6,29.5,504.2,56.5,23.26,99.6,120.8,331.4,1153.0,11.262,26.975,32.24,21.01,27.09,100.4725,22.69,132.94,103.98,10.216,196.85,34.865
2022-05-03,333.5,92.73,48.8,149.0182,41.875,25.49,86.38,51.32,57.4,194.05,20.84,55.31,160.8,600.5,29.85,490.3,57.58,24.15,100.48,124.85,330.3,1129.0,11.456,28.12,30.93,22.15,27.46,101.0692,23.405,131.0,106.54,10.484,198.35,35.72
2022-05-04,329.8,91.32,48.825,148.6727,41.43,25.16,85.2,51.01,56.37,190.55,20.47,54.86,159.0,593.3,29.8,480.85,57.72,23.65,98.68,122.8,328.9,1103.0,11.504,26.895,31.02,22.41,27.19,99.1795,23.02,129.52,102.58,10.4,193.55,35.02
2022-05-05,329.2,91.06,49.515,149.0364,41.49,24.675,86.72,50.7,56.02,189.35,20.56,54.13,158.6,574.0,29.4,470.9,57.12,22.715,97.11,122.5,328.9,1076.0,11.604,26.345,30.92,22.17,27.2,99.4779,22.43,129.36,109.02,9.983,192.75,35.1
2022-05-06,316.0,90.39,50.6,146.2,39.495,22.795,84.54,50.59,56.1,183.75,20.59,53.53,155.05,561.9,29.275,457.9,54.56,23.17,95.42,121.05,317.0,1042.0,11.574,26.32,30.74,22.33,26.26,97.05,22.565,127.0,107.5,9.965,183.2,34.765
2022-05-09,304.4,89.34,48.135,142.6,37.74,22.24,84.8,49.85,55.89,177.75,20.6,51.8,151.85,542.6,28.4,442.45,52.6,22.455,92.28,118.2,304.7,1015.0,11.642,25.95,30.63,22.76,25.27,96.46,22.0,121.9,103.72,9.9,176.2,33.4
2022-05-10,309.0,88.86,48.145,143.3091,38.075,22.47,83.38,50.92,54.84,176.7,20.67,51.9,144.1,549.5,28.8375,442.9,52.94,22.375,92.66,116.8,307.1,1016.5,11.722,25.955,30.9,23.04,25.56,97.79,22.005,123.96,104.6,9.95,177.95,33.43
2022-05-11,323.85,91.02,50.35,143.9636,38.23,22.96,82.5,52.15,54.96,179.7,20.48,52.89,146.8,573.0,29.3875,459.6,53.76,22.945,95.86,117.7,309.5,1054.0,11.666,26.895,31.23,21.85,26.65,97.93,22.625,127.6,107.48,10.158,185.25,34.375
2022-05-12,322.7,90.38,49.37,143.2909,37.59,22.655,81.24,51.41,54.8,180.45,20.59,52.39,145.05,565.4,29.375,449.0,53.28,22.425,93.77,114.25,307.8,1034.0,11.68,26.05,30.93,22.91,25.04,97.46,22.955,128.0,104.4,10.062,182.8,35.74
