Date,Close,Trade Signal
2017-03-29,786.516357421875,0
2017-03-30,794.1738891601562,0
2017-03-31,779.86279296875,0
2017-04-03,781.0521850585938,0
2017-04-05,791.9806518554688,0
2017-04-06,794.8056640625,0
2017-04-07,785.8845825195312,0
2017-04-10,810.8267211914062,0
2017-04-11,809.1167602539062,0
2017-04-12,797.221923828125,0
2017-04-13,781.08935546875,0
2017-04-17,797.0731811523438,0
2017-04-18,791.6461181640625,0
2017-04-19,804.5447387695312,0
2017-04-20,853.0538330078125,1
2017-04-21,839.89501953125,0
2017-04-24,877.3269653320312,0
2017-04-25,876.9552001953125,0
2017-04-26,866.547119140625,0
2017-04-27,856.5850830078125,0
2017-04-28,858.7040405273438,0
2017-05-02,857.2914428710938,0
2017-05-03,861.2687377929688,0
2017-05-04,894.68603515625,0
2017-05-05,886.2482299804688,0
2017-05-08,880.7467651367188,0
2017-05-09,868.033935546875,0
2017-05-10,867.1790161132812,-1
2017-05-11,860.376708984375,0
2017-05-12,854.3548583984375,0
2017-05-15,871.89990234375,0
2017-05-16,867.2906494140625,0
2017-05-17,870.4502563476562,0
2017-05-18,840.3038940429688,0
2017-05-19,832.9811401367188,0
2017-05-22,823.3163452148438,0
2017-05-23,815.4732055664062,0
2017-05-24,816.1795654296875,0
2017-05-25,815.7705688476562,0
2017-05-26,824.76611328125,0
2017-05-29,822.126953125,0
2017-05-30,841.939453125,0
2017-05-31,858.7040405273438,0
2017-06-01,849.5968017578125,0
2017-06-02,863.015869140625,1
2017-06-05,859.0013427734375,0
2017-06-06,844.2813720703125,0
2017-06-07,846.9576416015625,0
2017-06-08,837.6275634765625,-1
2017-06-09,827.962890625,0
2017-06-12,832.3119506835938,0
2017-06-13,834.0590209960938,0
2017-06-14,830.1931762695312,0
2017-06-15,826.51318359375,0
2017-06-16,831.2711181640625,0
2017-06-19,830.6393432617188,0
2017-06-20,849.9313354492188,0
2017-06-21,841.7164306640625,1
2017-06-22,871.5281372070312,0
2017-06-23,871.0449829101562,0
2017-06-27,904.5366821289062,0
2017-06-28,896.3217163085938,0
2017-06-29,904.8340454101562,0
2017-06-30,923.419921875,0
2017-07-03,954.1237182617188,0
2017-07-04,941.894287109375,0
2017-07-05,956.94873046875,0
2017-07-06,945.9459838867188,0
2017-07-07,929.9248657226562,0
2017-07-10,933.3447875976562,0
2017-07-11,934.943115234375,0
2017-07-12,940.8533325195312,0
2017-07-13,957.060302734375,0
2017-07-14,945.2025146484376,0
2017-07-17,971.3713989257812,0
2017-07-18,972.2634887695312,0
2017-07-19,1007.77587890625,0
2017-07-20,1029.802734375,0
2017-07-21,1018.4293823242188,0
2017-07-24,1010.846923828125,0
2017-07-25,1032.29833984375,0
2017-07-26,1026.731689453125,0
2017-07-27,1027.5953369140625,0
2017-07-28,1028.315185546875,0
2017-07-31,1027.2115478515625,0
2017-08-01,1055.1890869140625,0
2017-08-02,1060.7081298828125,0
2017-08-03,1080.9114990234375,0
2017-08-04,1081.0074462890625,0
2017-08-07,1079.855712890625,0
2017-08-08,1064.0673828125,0
2017-08-09,1047.894775390625,-1
2017-08-10,1027.6912841796875,0
2017-08-11,1018.0934448242188,0
2017-08-14,1064.0673828125,0
2017-08-16,1062.0037841796875,0
2017-08-17,1056.43701171875,0
2017-08-18,1053.8934326171875,0
2017-08-21,1066.754638671875,0
2017-08-22,1069.4420166015625,0
2017-08-23,1074.049072265625,0
2017-08-24,1088.8297119140625,0
2017-08-28,1097.0360107421875,0
2017-08-29,1087.294189453125,0
2017-08-30,1125.87744140625,1
2017-08-31,1147.1368408203125,0
2017-09-01,1123.6697998046875,0
2017-09-04,1123.3819580078125,0
2017-09-05,1132.5001220703125,0
2017-09-06,1138.546630859375,0
2017-09-07,1163.4051513671875,0
2017-09-08,1166.345703125,0
2017-09-11,1188.5697021484375,0
2017-09-12,1212.529052734375,0
2017-09-13,1185.4844970703125,0
2017-09-14,1188.9554443359375,0
2017-09-15,1195.6563720703125,0
2017-09-18,1185.629150390625,0
2017-09-19,1177.0963134765625,-1
2017-09-20,1177.578369140625,0
2017-09-21,1158.439697265625,0
2017-09-22,1134.1429443359375,0
2017-09-25,1099.818603515625,0
2017-09-26,1089.93603515625,0
2017-09-27,1077.498291015625,0
2017-09-28,1087.1881103515625,0
2017-09-29,1093.310546875,0
2017-10-03,1117.559326171875,0
2017-10-04,1108.8818359375,0
2017-10-05,1119.0538330078125,0
2017-10-06,1110.520751953125,0
2017-10-09,1115.1005859375,0
2017-10-10,1112.59375,0
2017-10-11,1108.6890869140625,0
2017-10-12,1095.335205078125,0
2017-10-13,1106.03759765625,0
2017-10-16,1101.5543212890625,0
2017-10-17,1093.8409423828125,0
2017-10-18,1105.555419921875,0
2017-10-19,1097.8421630859375,0
2017-10-23,1139.686767578125,1
2017-10-24,1138.5299072265625,0
2017-10-25,1168.3223876953125,0
2017-10-26,1150.7265625,0
2017-10-27,1144.170166015625,0
2017-10-30,1155.450927734375,0
2017-10-31,1183.1221923828125,0
2017-11-01,1202.598388671875,0
2017-11-02,1247.094482421875,0
2017-11-03,1241.7432861328125,0
2017-11-06,1240.489990234375,0
2017-11-07,1211.0828857421875,0
2017-11-08,1208.624267578125,0
2017-11-09,1183.315185546875,0
2017-11-10,1201.44140625,0
2017-11-13,1181.0975341796875,-1
2017-11-14,1163.4052734375,0
2017-11-15,1136.55322265625,0
2017-11-16,1118.4752197265625,0
2017-11-17,1134.7213134765625,0
2017-11-20,1140.072265625,0
2017-11-21,1126.76708984375,0
2017-11-22,1151.4012451171875,0
2017-11-23,1166.1048583984375,0
2017-11-24,1158.5360107421875,0
2017-11-27,1151.8834228515625,0
2017-11-28,1133.4197998046875,0
2017-11-29,1140.072265625,0
2017-11-30,1127.97216796875,0
2017-12-01,1109.2193603515625,0
2017-12-04,1095.287109375,0
2017-12-05,1075.8592529296875,0
2017-12-06,1056.6724853515625,0
2017-12-07,1079.5233154296875,0
2017-12-08,1093.4071044921875,0
2017-12-11,1093.310546875,0
2017-12-12,1079.23388671875,0
2017-12-13,1078.558837890625,0
2017-12-14,1102.3255615234375,0
2017-12-15,1098.7581787109375,0
2017-12-18,1089.646728515625,1
2017-12-19,1096.1068115234375,0
2017-12-20,1082.897705078125,0
2017-12-21,1087.8631591796875,0
2017-12-22,1093.5035400390625,0
2017-12-26,1104.4949951171875,0
2017-12-27,1099.28857421875,0
2017-12-28,1088.7308349609375,0
2017-12-29,1123.9710693359375,0
2018-01-01,1102.9522705078125,0
2018-01-02,1098.7098388671875,0
2018-01-03,1086.8026123046875,0
2018-01-04,1128.357666015625,0
2018-01-05,1170.6846923828125,0
2018-01-08,1159.8861083984375,0
2018-01-09,1193.1495361328125,0
2018-01-10,1191.22119140625,0
2018-01-11,1199.4166259765625,0
2018-01-12,1177.8675537109375,0
2018-01-15,1198.3077392578125,0
2018-01-16,1184.9542236328125,0
2018-01-17,1203.273193359375,0
2018-01-18,1173.962646484375,0
2018-01-19,1179.6995849609375,0
2018-01-22,1194.885009765625,0
2018-01-23,1179.554931640625,0
2018-01-24,1157.0418701171875,-1
2018-01-25,1150.2442626953125,0
2018-01-29,1142.0972900390625,0
2018-01-30,1121.5604248046875,0
2018-01-31,1118.4752197265625,0
2018-02-01,1146.291259765625,0
2018-02-02,1088.3935546875,0
2018-02-05,1058.6971435546875,0
2018-02-06,1027.265625,0
2018-02-07,1020.0343627929688,0
2018-02-08,1068.91748046875,0
2018-02-09,1069.20654296875,0
2018-02-12,1091.7198486328125,0
2018-02-14,1086.36865234375,0
2018-02-15,1064.0965576171875,0
2018-02-16,1060.6256103515625,0
2018-02-19,1050.646484375,0
2018-02-20,1078.558837890625,0
2018-02-21,1070.79736328125,0
2018-02-22,1070.6044921875,1
2018-02-23,1095.9620361328125,0
2018-02-26,1138.2886962890625,0
2018-02-27,1129.9488525390625,0
2018-02-28,1111.388671875,0
2018-03-01,1124.7904052734375,0
2018-03-05,1100.8309326171875,0
2018-03-06,1093.310546875,0
2018-03-07,1074.9434814453125,0
2018-03-08,1061.2039794921875,0
2018-03-09,1060.9146728515625,-1
2018-03-12,1066.3623046875,0
2018-03-13,1069.4478759765625,0
2018-03-14,1081.5478515625,0
2018-03-15,1068.242431640625,0
2018-03-16,1054.358642578125,0
2018-03-19,1058.841796875,0
2018-03-20,1056.8170166015625,0
2018-03-21,1055.4674072265625,0
2018-03-22,1053.73193359375,0
2018-03-23,1043.80078125,0
2018-03-26,1041.8726806640625,0
2018-03-27,1049.8270263671875,0
2018-03-28,1013.2369995117188,0
2018-04-02,1050.212646484375,0
2018-04-03,1048.910888671875,0
2018-04-04,1021.3842163085938,0
