Date,Close Price,Trading Signal
2023-03-20,2024.6011962890625,1.0
2023-03-21,2087.55810546875,1.0
2023-03-22,2093.904541015625,-1.0
2023-03-23,2067.415771484375,-1.0
2023-03-24,2026.4866943359375,1.0
2023-03-27,2057.988037109375,1.0
2023-03-28,2067.599609375,1.0
2023-03-29,2055.366943359375,1.0
2023-03-31,2143.98486328125,1.0
2023-04-03,2144.352783203125,-1.0
2023-04-05,2139.2021484375,-1.0
2023-04-06,2153.550048828125,-1.0
2023-04-10,2138.2822265625,-1.0
2023-04-11,2148.859375,1.0
2023-04-12,2158.3330078125,1.0
2023-04-13,2166.472900390625,-1.0
2023-04-17,2177.463623046875,-1.0
2023-04-18,2152.53857421875,-1.0
2023-04-19,2163.253662109375,1.0
2023-04-20,2157.781005859375,1.0
2023-04-21,2160.494384765625,1.0
2023-04-24,2168.772216796875,1.0
2023-04-25,2185.37353515625,1.0
2023-04-26,2172.543212890625,-1.0
2023-04-27,2186.29345703125,1.0
2023-04-28,2226.256591796875,1.0
2023-05-02,2245.157470703125,-1.0
2023-05-03,2225.888671875,-1.0
2023-05-04,2251.5498046875,-1.0
2023-05-05,2245.80126953125,-1.0
2023-05-08,2273.53173828125,1.0
2023-05-09,2280.56787109375,-1.0
2023-05-10,2296.249755859375,-1.0
2023-05-11,2281.2578125,-1.0
2023-05-12,2284.982666015625,-1.0
2023-05-15,2289.489501953125,1.0
2023-05-16,2256.88427734375,1.0
2023-05-17,2243.5478515625,1.0
2023-05-18,2238.71923828125,1.0
2023-05-19,2245.985107421875,1.0
2023-05-22,2257.98779296875,1.0
2023-05-23,2257.573974609375,-1.0
2023-05-24,2244.421630859375,-1.0
2023-05-25,2244.145751953125,-1.0
2023-05-26,2305.355224609375,-1.0
2023-05-29,2318.323486328125,-1.0
2023-05-30,2317.725830078125,-1.0
2023-05-31,2271.692138671875,-1.0
2023-06-01,2265.575927734375,1.0
2023-06-02,2258.171875,-1.0
2023-06-05,2278.452392578125,1.0
2023-06-06,2280.3837890625,-1.0
2023-06-07,2297.67529296875,-1.0
2023-06-08,2299.0546875,-1.0
2023-06-09,2282.775390625,-1.0
2023-06-12,2284.798583984375,-1.0
2023-06-13,2318.553466796875,-1.0
2023-06-14,2347.06591796875,-1.0
2023-06-15,2347.709716796875,-1.0
2023-06-16,2370.565673828125,-1.0
2023-06-19,2347.019775390625,-1.0
2023-06-20,2351.89453125,-1.0
2023-06-21,2358.516845703125,-1.0
2023-06-22,2332.02783203125,-1.0
2023-06-23,2312.943115234375,-1.0
2023-06-26,2295.283935546875,-1.0
