Date,OR FP Equity,DG FP Equity,STLAP FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,EDEN FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ENGI FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,LR FP Equity,URW FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity,WLN FP Equity
19-05-2015,174.8,55.04,#N/A N/A,47.305,86.7538,14.23,23.66,27.625,57.41,63.58,82.34,31.26,42.02,110.85,165.95,25.7625,23.11,158.3,76.79,96.51,65.12,56.92,68.05,349.95,18.275,14.865,23.4493,38.2,26.4824,18.5314,90.8549,44.65,69.88,62.81,51.96,247.9,13.92,111.5,7.307,19.79
20-05-2015,175,55.29,#N/A N/A,47.4,86.6807,14.354,23.85,27.95,56.85,63.6,83.51,31.81,42.525,111.35,166,25.6125,23.08,157.28,77.13,96.84,65.59,57.03,67.81,349.65,18.64,14.835,23.5889,37.92,26.2877,18.6471,91.0737,45.03,70.02,63.34,51.88,243.05,14.115,112.4,7.446,19.835
21-05-2015,174.9,55.46,#N/A N/A,47.82,86.8636,14.456,23.93,27.865,56.47,63.28,83.7,31.84,43.225,111.45,165.6,25.8125,23.615,154.68,76.71,98.52,65.94,57.3,68.01,348.9,18.66,14.83,23.5191,38.005,26.385,18.594,91.8793,44.975,70.41,63.94,52.03,240.8,14.065,112.1,7.429,20.3
22-05-2015,174.8,55.47,#N/A N/A,47.73,86.7538,14.424,23.935,27.935,57.01,63.61,82.36,31.855,43.315,113.35,166.4,25.65,23.67,151.52,76.06,98.81,66.05,57.61,68.41,350.75,18.725,14.6,23.2981,37.215,26.2181,18.5507,91.7997,44.75,70.11,63.73,51.68,239.05,14.16,111.95,7.431,19.84
25-05-2015,174.2,55.15,#N/A N/A,47.545,86.6075,14.33,23.805,27.905,56.23,63.62,81.65,31.8,43.06,112.7,165.9,25.6375,23.655,152.35,76.48,98.76,65.96,57.26,68.06,348.05,18.5,14.47,23.4493,36.625,26.2877,18.4349,90.835,44.535,69.56,63.36,51.81,238.55,14.005,112.1,7.325,19.73
26-05-2015,173.6,55.03,#N/A N/A,46.825,85.7293,14.372,23.78,27.825,55.57,63.52,81.18,31.55,43.13,112.05,165,25.1875,23.44,150.96,75.39,98.11,66.03,57.45,68.52,347.15,18.42,14.505,23.5191,36.62,26.1903,18.2759,90.1487,43.29,69.09,63.49,51.38,237.5,13.925,111,7.393,19.5
27-05-2015,177.65,56.33,#N/A N/A,47.4,87.9247,14.418,24.165,28.355,56.47,64.32,81.4,31.965,43.79,113.8,167.85,25.6,23.44,150.96,75.74,98.47,67.21,57.95,68.3,351.95,18.875,14.735,23.775,37.1,27.0109,18.6712,93.0231,44.195,71.28,65.26,52.93,241.85,14.33,112.55,7.579,19.755
28-05-2015,176.5,55.39,#N/A N/A,46.925,87.8515,14.384,23.745,28.445,56.15,64.17,81.59,31.68,43.565,113.7,166.55,24.9725,23.365,150.96,75.07,96.55,66.73,57.6,67.76,350.5,18.83,14.685,23.2749,36.84,26.844,18.4832,91.7699,43.545,71.06,64.64,52.38,240.3,13.935,113.25,7.851,19.87
29-05-2015,171.95,54.08,#N/A N/A,45.975,85.8391,14.234,22.915,27.71,54.93,62.53,79.02,30.905,42.43,111.15,162.15,24.3925,23,148.68,72.81,94.53,64.41,56.64,67.06,355.65,18.375,14.36,22.5607,35.85,26.4314,18.2373,88.6668,42.525,68.78,62,51.24,233.85,13.595,112.55,7.774,19.5
01-06-2015,173.6,54.79,#N/A N/A,46,85.9489,14.28,22.93,28.295,54.85,63.22,79.29,30.915,42.315,111.35,163.2,24.6275,22.71,148.5,73.02,94.79,64.92,56.84,68.31,361.8,18.24,14.55,22.4118,35.525,26.2923,18.3675,89.5719,42.205,68.77,61.82,51.61,234.85,13.51,114.4,7.702,19.4
