,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31
POWERGRID.NS,-0.017802911007637978,0.021437070948904013,0.04607461841544391,0.04308164157527661,-0.009366764073475586,0.07773817841660358,0.027394744635551582,-0.041926772089939446,-0.0382310104543212,0.035865261387996616,-0.009606891529387096,-0.008616652799219748
RELIANCE.NS,-0.12912079113639519,-0.062261211022866414,-0.005125433167359805,-0.055665866211067616,-0.059692541945720046,-0.10766136641170054,-0.1428600415320853,-0.19263674616877913,-0.18972991464263922,-0.09787811654766776,-0.18420138728469704,-0.2924812123995898
SHRIRAMFIN.NS,-0.1230363181009162,-0.031052958718089663,-0.0005421687621040006,-0.01977000247560745,-0.06402949131463631,-0.17336504140455555,-0.1913543848832585,-0.184268133355168,-0.25959043968837436,-0.2612763514949269,-0.38954806001692655,-0.506940464940195
SBIN.NS,-0.06367601683456714,-0.05053727984449774,-0.029497421903329157,0.0008536342820495424,-0.1346932354534539,-0.1066632783883451,-0.1345303298311139,-0.27156018334724463,-0.30167053327056115,-0.28490259436220866,-0.3371604328778186,-0.41168739892726147
SUNPHARMA.NS,-0.09532113157694988,-0.11537395609607859,-0.12270961826212567,-0.08242067791274188,-0.058460484820995084,-0.0024629875412197633,0.037999407069307045,-0.024693351264981844,-0.10845086414474614,-0.02642719689808226,0.011191788832994654,-0.03726876671724255
TCS.NS,0.0029391365988826745,-0.03185371070829002,0.019287017669110007,0.006763489235540154,0.005634022536721517,0.020082348621820678,-0.024352657390695476,-0.10414903150126453,-0.09082680927605291,-0.02493863684048525,-0.018693016882601166,0.003660643106321748
TATACONSUM.NS,-0.1080716664570256,-0.1901871373774795,-0.1301188959856543,-0.12925463789513802,-0.23896852816522152,-0.19784278458947746,-0.12562794360252538,-0.22036172168156742,-0.2783931246029091,-0.20451419220789469,-0.2713473136207193,-0.25607256144057555
TATAMOTORS.NS,-0.12335219040157508,-0.11211789802023275,-0.02930539998316606,-0.03317474115771213,-0.1357867479223065,-0.20437010970072866,-0.22639763053421302,-0.40276124504016086,-0.3825828482683463,-0.20230188648470482,-0.2874529653333149,-0.3041958268520367
TATASTEEL.NS,-0.09139969126487646,-0.1267801337081116,-0.14357141145999752,-0.15737600295237308,-0.19253946926120213,-0.15378196874600802,-0.19148414072350872,-0.3397873435239088,-0.44048293307320907,-0.31550797454002755,-0.44138489521151114,-0.5347533513728144
TECHM.NS,-0.085294842310493,-0.06943086427637801,-0.06915528402484594,-0.07875159212485161,-0.09148549275454831,-0.06117579299603859,0.014314547422650925,-0.15283369825788973,-0.23443675640767503,-0.1906151128433755,-0.22652849722300994,-0.22000264628610744
TITAN.NS,-0.023258303100262445,-0.09639439186612964,0.01227045472100885,0.057213063333813485,0.1894793587743122,0.18297926660526675,0.27119772472886017,0.14661420212362786,0.1360125885522001,0.2097794706469267,-0.0006169153306876396,-0.08121221559210501
ULTRACEMCO.NS,-0.0780545547161724,-0.13849315284868757,0.019819984724650075,-0.00046158128784279384,-0.03658041054399863,-0.13499653799396893,-0.048685650680405645,-0.00485940973506882,0.03272812080122289,0.08157028364852659,0.08682091035572292,0.08803359734004745
WIPRO.NS,-0.08897768198425593,-0.07019918539740455,0.0068559194201700535,-0.0476060945291491,-0.05015945429660107,-0.10667950818136673,-0.17814094712848794,-0.2969422881635899,-0.2833793138066609,-0.2043819219407027,-0.19336849554716729,-0.16779929761203582
