Date,UNH UN Equity,GS UN Equity,MSFT UQ Equity,HD UN Equity,CAT UN Equity,AMGN UQ Equity,MCD UN Equity,V UN Equity,CRM UN Equity,BA UN Equity,HON UQ Equity,AAPL UQ Equity,CVX UN Equity,TRV UN Equity,WMT UN Equity,JNJ UN Equity,AXP UN Equity,PG UN Equity,JPM UN Equity,IBM UN Equity,MRK UN Equity,NKE UN Equity,MMM UN Equity,DIS UN Equity,KO UN Equity,CSCO UQ Equity,DOW UN Equity,INTC UQ Equity,VZ UN Equity,WBA UQ Equity
02-07-2020,298.26,197.4,206.26,248.5,127.72,258.24,183.52,195.67,192.53,180.81,#N/A N/A,91.028,88.31,112.46,119.21,140.97,94.33,120.88,92.66,114.3331,75.1188,98.43,157.04,112.18,44.88,45.63,41.59,59.13,54.79,41.98
03-07-2020,298.26,197.4,206.26,248.5,127.72,258.24,183.52,195.67,192.53,180.81,#N/A N/A,91.028,88.31,112.46,119.21,140.97,94.33,120.88,92.66,114.3331,75.1188,98.43,157.04,112.18,44.88,45.63,41.59,59.13,54.79,41.98
06-07-2020,302.81,207.36,210.7,249.55,129.43,256.25,188.5,197.76,197.72,187.91,#N/A N/A,93.463,88.57,114.57,118.89,142.98,96.58,121.63,95,114.8012,75.8816,99.95,158.1,114.43,45.23,46.42,42.45,59.54,55.24,43.16
07-07-2020,296.65,199.36,208.25,247.35,127.2,253.15,185.82,194.2,196.38,178.88,#N/A N/A,93.173,86.31,112.48,126.95,142.85,93.01,122.22,92.32,112.3082,75.0616,97.07,154.82,113.63,45.21,45.63,41.69,58.31,55.04,42.22
08-07-2020,298.36,202.25,212.83,249.17,128.13,251.59,185.85,195.07,200.28,180.08,#N/A N/A,95.343,86.35,113.18,124.44,143.27,92.9,122.89,93.3,112.4324,74.2987,98.84,154.58,116.66,45.07,45.81,40.35,58.61,55.38,42.29
09-07-2020,291.16,196.83,214.32,247.96,125.73,251.66,184.33,192.21,200.74,173.28,#N/A N/A,95.683,82.74,110.04,127.75,142.49,90.57,122.48,91.28,110.522,73.1259,96.99,151.45,116.81,43.91,46.7,39.44,58.42,53.94,39.01
10-07-2020,291.23,205.56,213.67,250.11,128.01,249.04,184.88,192.55,198.88,178.44,#N/A N/A,95.92,85.23,113.84,130.68,142.37,93.23,123.89,96.27,113.0437,73.164,97.99,152.85,119.34,45.15,46.66,40.76,59.53,54.49,40.12
13-07-2020,299.71,208.88,207.07,249.62,130.57,250.04,184.92,189.02,188.34,175.65,#N/A N/A,95.478,85.4,114.24,129.52,145.21,93.56,124.05,97.65,113.8555,73.7552,96.46,154.8,116.22,45.25,45.93,41.24,58.58,54.45,39.58
14-07-2020,308.52,214.01,208.35,257.79,136.88,253.09,190.72,193.33,189.56,179.96,#N/A N/A,97.058,88.35,118.55,132.01,147.92,94.84,125.09,98.21,115.1928,74.6134,96.76,158.54,118.66,45.87,46.26,42.44,58.98,55.44,40.11
15-07-2020,304.07,216.9,208.04,257.8,138.36,253.31,191.77,196.55,188.09,187.94,#N/A N/A,97.725,88.89,119.14,132,148.26,97.36,124.5,99.73,117.4852,75.7481,98.54,159.33,120.9,46.4,46.4,43.33,59.03,55.06,40.68
16-07-2020,307.15,214.67,203.92,258.08,138.56,255.2,190.92,193.5,185.51,178.7,#N/A N/A,96.523,88.36,120.5,132.2,149.25,96.32,124.76,100.01,118.4499,75.71,97.26,160.5,119.43,46.15,45.78,43.83,59.14,55.78,41.35
17-07-2020,306.53,211.41,202.88,260.38,136.9,258.46,191.48,195.09,187.78,175.66,#N/A N/A,96.328,87.19,119.16,131.74,149.35,95.18,125.63,98.16,119.5006,76.1581,96.28,159.83,118.65,46.82,46.75,43.67,60,56.3,41.42
20-07-2020,303.46,211.71,211.6,260.17,134.63,260.95,191.61,198.47,195.09,174.42,#N/A N/A,98.358,85.27,118.77,131.47,149.6,94,125.24,97.3,120.7041,75.7195,95.65,156.37,117.79,46.12,46.97,42.3,61.15,55.87,40.46
21-07-2020,305.11,212.02,208.75,262.42,135.87,257.91,192.98,196.48,190.8,178.63,#N/A N/A,97,91.39,120.42,132.33,149.74,96.33,125.07,99.41,120.408,75.2237,98.36,157.8,118.62,47.2,47.02,43.04,60.7,55.84,40.41
22-07-2020,306.71,206,211.75,265.17,136.98,256.98,198.62,198.86,191.31,179.79,#N/A N/A,97.273,91.04,122.24,132.66,150.01,96.54,126.14,98.69,122.901,75.1188,98.91,158.71,119.03,48.48,46.9,44.34,61.05,55.75,40.69
23-07-2020,302.97,203.02,202.54,263.81,136.6,252.24,197.55,197.43,188.54,176.45,#N/A N/A,92.845,91.01,118.61,131.64,149.61,96.67,126.16,98.98,121.621,74.4322,98.3,159.29,118.12,48.28,47.41,42.82,60.4,55.85,40.34
24-07-2020,300.79,201.47,201.3,265.31,137.58,247.98,198.72,195.15,188.49,173.76,#N/A N/A,92.615,90.13,118.28,131.24,148.12,95.33,125.96,98.28,120.1501,73.5169,98.43,159.84,117.61,48.49,46.4,42.61,50.59,56.85,40.51
27-07-2020,298.6,203.02,203.85,267.42,139.89,253.65,201.25,196.91,190.96,170.21,#N/A N/A,94.81,91.04,116.63,131.21,147.18,95.79,126.32,96.9,120.5512,75.2618,97.21,163.24,116.31,48.48,47.19,44,49.57,56.87,39.84
28-07-2020,299.93,201.62,202.02,265.28,138.03,255.27,196.24,196.74,189.5,170.84,#N/A N/A,93.253,89.11,115.03,131.76,146.83,94.42,127.88,97.32,118.8893,75.9865,96.27,155.33,116.18,48.18,46.28,42.62,49.24,57.48,40.68
29-07-2020,306.68,202.58,204.06,264.66,140.53,248.85,196.21,198.58,193.61,166.01,#N/A N/A,95.04,90.07,116.85,130.69,146.54,96.69,128.31,99.68,119.7012,75.6623,96.97,156.25,115.61,48.02,46.71,43.52,48.07,57.45,41.16
30-07-2020,305.23,199.53,203.9,266.31,136.73,246.14,195.41,194.06,191.7,161.95,#N/A N/A,96.19,86.27,115.93,130.12,146.84,94.65,131.42,97.02,117.3897,75.319,96.82,152.12,115.66,47.69,46.44,41.73,47.99,57.3,40.64
31-07-2020,302.78,197.96,205.01,265.49,132.88,244.67,194.28,190.4,194.85,158,#N/A N/A,106.26,83.94,114.42,129.4,145.76,93.32,131.12,96.64,117.4279,76.5109,97.61,150.47,116.94,47.24,47.1,41.06,47.73,57.48,40.71
03-08-2020,303.61,199.39,216.54,266.18,131.78,247.36,194.4,190.69,203.19,162.27,#N/A N/A,108.938,84.81,114.4,129.3,147.35,93.54,131.29,96.1,118.7364,78.704,98.33,150.41,116.35,46.3,47.16,40.09,48.3,57.24,41.08
04-08-2020,304.5,201.64,213.29,267.87,131.52,243.59,199.36,192.29,201.41,165.07,#N/A N/A,109.665,86.49,113.1,131.64,147.22,93.19,133.79,95.55,120.1978,77.8745,97.33,151.21,117.29,46.69,47.67,41.32,49.13,57.91,40.93
05-08-2020,312.47,204.52,212.94,267.48,134.97,241.47,199.26,196.1,202.64,174.28,#N/A N/A,110.063,87.2,115.08,129.81,148.4,95.39,133.44,97.21,119.8253,77.8459,100.94,155.35,127.61,47.22,47.33,41.99,48.92,57.54,40.81
